N_azote,P_phosphore,K_potassium,pH,temperature_C,humidite_pourcentage,precipitations_mm,culture_recommandee
126,47,29,5.9,31.4,55.7,1037.8,Coton
85,51,24,7.2,22.8,39.5,656.4,Maïs
76,39,52,5.9,26.5,68.3,1248.3,Igname
135,43,31,6.1,32.5,55.8,1030.2,Coton
77,28,43,5.5,23.7,87.4,1586.6,Café
59,37,47,5.7,26.1,100.0,2319.0,Cacao
81,42,19,7.4,20.5,49.3,819.2,Maïs
69,37,48,6.1,25.4,54.5,1127.2,Igname
76,25,56,5.7,23.1,77.7,1616.8,Café
67,48,40,5.4,35.5,63.8,1381.4,Riz
80,30,53,5.6,21.4,91.3,1875.8,Café
101,44,36,7.0,29.1,63.9,1240.8,Coton
80,40,33,6.3,23.9,84.4,1781.7,Riz
109,52,39,6.4,37.0,56.3,1158.2,Coton
81,54,20,6.7,27.3,35.2,784.5,Maïs
67,42,24,6.8,21.0,34.1,827.8,Maïs
87,48,29,6.9,20.7,29.7,709.0,Maïs
83,53,21,7.0,23.3,52.3,895.6,Maïs
134,44,42,6.2,30.4,74.6,1391.1,Coton
44,27,46,6.5,28.4,57.3,1138.5,Manioc
27,56,30,6.8,27.6,42.5,893.2,Soja
118,45,35,6.4,28.8,43.1,892.9,Coton
39,29,21,6.2,27.5,38.6,660.6,Sorgho
76,45,48,5.6,29.0,51.2,1087.1,Riz
34,56,24,7.0,27.9,42.3,658.3,Soja
59,19,42,6.8,28.3,34.9,754.3,Manioc
40,25,36,5.6,29.3,51.8,1054.8,Manioc
70,39,57,6.0,24.9,96.8,2120.1,Cacao
55,45,52,6.4,28.3,68.8,1435.7,Igname
116,47,41,6.4,31.5,37.1,823.0,Coton
81,38,17,6.0,22.6,23.5,628.7,Maïs
136,45,32,6.6,31.7,35.9,824.6,Coton
63,43,44,5.1,27.6,100.0,2002.6,Cacao
47,30,21,6.9,30.7,31.0,744.1,Sorgho
46,20,43,4.8,27.3,67.9,1166.8,Manioc
66,42,46,5.7,27.3,68.8,1361.1,Igname
58,50,37,5.3,33.0,79.7,1452.9,Riz
29,56,32,6.1,22.8,39.4,825.5,Soja
64,48,44,6.9,23.3,65.8,1142.4,Riz
72,35,56,6.2,20.8,100.0,2510.3,Cacao
35,22,29,7.9,30.1,47.8,848.6,Sorgho
55,31,31,6.8,29.6,40.2,778.5,Sorgho
55,18,41,5.2,30.3,58.8,982.5,Manioc
49,31,33,6.1,27.1,25.4,617.8,Sorgho
132,46,37,6.1,32.9,44.4,766.6,Coton
74,45,29,6.1,21.9,48.5,781.8,Maïs
46,33,38,6.8,28.9,28.8,776.2,Sorgho
43,57,17,6.7,28.9,25.7,641.2,Soja
75,30,55,6.1,28.9,89.6,1819.4,Cacao
78,44,59,6.1,27.0,74.2,1290.7,Igname
68,39,23,5.5,25.1,33.1,721.4,Maïs
32,59,31,7.1,28.8,46.5,746.8,Soja
60,19,35,6.1,27.6,45.7,1036.8,Manioc
53,34,29,6.8,31.4,42.1,721.8,Sorgho
115,56,43,6.0,32.7,37.8,692.6,Coton
51,36,21,6.8,27.8,30.8,656.7,Sorgho
27,41,26,7.4,27.0,41.1,836.3,Soja
67,45,44,6.4,26.1,100.0,2394.3,Cacao
62,41,50,6.2,29.4,58.2,1176.6,Igname
50,45,47,6.1,29.5,75.8,1341.4,Igname
71,57,19,6.5,24.8,33.7,729.2,Maïs
59,39,32,5.9,28.6,83.9,1478.1,Riz
51,39,48,5.8,24.6,54.8,1142.8,Igname
62,48,36,5.7,30.7,50.2,1154.5,Riz
80,32,59,5.7,20.5,79.6,1780.8,Café
70,34,63,5.9,22.2,99.3,1787.6,Café
90,33,47,5.4,18.9,78.2,1655.4,Café
78,26,48,5.1,19.9,89.2,1827.0,Café
27,58,23,7.2,27.1,39.5,734.0,Soja
55,47,39,5.7,33.4,94.6,1804.2,Riz
73,32,48,6.0,26.9,52.2,1009.6,Igname
108,46,38,6.6,33.7,38.4,777.4,Coton
76,48,28,5.6,22.9,76.2,1691.3,Cacao
48,35,49,6.0,27.8,61.6,1167.0,Igname
132,41,47,6.4,27.6,32.3,760.5,Coton
74,44,38,6.0,29.5,90.7,1676.2,Riz
68,40,17,6.2,19.0,32.9,784.9,Maïs
67,49,44,6.1,24.2,42.8,1046.9,Riz
33,19,37,6.0,29.1,52.4,1195.3,Manioc
59,31,36,6.4,28.7,31.7,750.3,Sorgho
77,39,22,7.1,23.1,33.0,703.7,Maïs
100,44,26,5.8,25.1,29.4,590.2,Maïs
76,32,45,5.5,20.9,93.5,1792.4,Café
52,52,19,7.0,26.9,36.5,636.5,Maïs
127,42,33,6.8,30.7,45.6,1051.9,Coton
71,40,46,5.8,23.1,100.0,2083.0,Cacao
105,59,46,6.9,26.8,39.3,901.1,Coton
29,58,28,6.6,23.6,45.4,746.3,Soja
34,57,32,7.2,25.5,36.4,837.5,Soja
36,55,30,7.0,27.1,32.8,769.4,Soja
95,46,44,5.8,28.3,53.0,1226.3,Riz
57,31,36,6.4,26.6,98.5,2085.6,Cacao
86,37,26,6.3,25.8,35.4,662.5,Maïs
71,39,46,5.4,18.9,93.4,1817.2,Café
94,47,27,6.4,25.2,52.4,882.0,Maïs
52,22,38,5.9,28.5,68.2,1172.7,Manioc
84,24,51,5.4,18.4,90.1,1792.5,Café
44,26,25,6.1,33.9,26.6,628.4,Sorgho
56,19,44,5.3,26.3,58.7,977.7,Manioc
76,51,21,5.9,26.6,24.7,633.7,Maïs
32,58,23,6.6,22.6,33.8,777.1,Soja
39,25,35,6.7,31.9,20.3,527.2,Sorgho
40,41,60,5.8,25.1,68.5,1235.4,Igname
43,35,46,6.2,27.1,67.0,1236.4,Igname
52,25,38,6.5,29.0,45.8,819.2,Manioc
79,38,20,7.6,25.4,22.9,618.3,Maïs
49,34,49,6.2,27.0,58.7,1134.1,Igname
43,29,30,4.9,30.3,33.8,541.1,Sorgho
77,46,43,5.7,33.8,86.1,1584.8,Riz
84,33,44,5.5,19.3,100.0,1898.6,Café
81,30,53,5.5,24.8,82.5,1663.9,Café
65,40,43,5.6,26.6,94.5,1773.7,Cacao
75,35,37,5.5,24.0,98.7,1861.2,Café
48,30,31,6.2,31.1,37.7,570.9,Sorgho
115,54,32,6.0,35.7,31.6,815.2,Coton
115,54,39,5.9,30.0,57.7,1025.3,Coton
39,30,22,7.2,29.8,33.3,624.4,Sorgho
23,71,31,7.1,26.5,36.1,747.6,Soja
75,43,17,6.3,24.8,45.6,1047.9,Maïs
78,39,54,5.6,28.5,68.6,1174.4,Igname
73,29,51,5.5,23.8,90.2,1732.6,Café
119,42,40,6.1,28.7,38.9,931.0,Coton
125,48,35,6.4,33.4,31.6,815.6,Coton
21,44,24,6.7,29.6,27.7,704.2,Soja
38,29,27,6.7,29.3,32.3,637.6,Sorgho
49,25,25,5.8,27.6,34.0,742.5,Sorgho
125,46,41,6.5,28.7,55.6,1142.4,Coton
52,27,42,5.5,29.4,49.1,966.5,Manioc
79,50,21,6.9,23.6,47.6,864.2,Maïs
63,50,41,6.6,30.4,75.5,1463.8,Riz
71,45,26,6.0,29.7,57.4,1182.6,Riz
56,34,46,6.4,27.3,45.3,1028.0,Igname
33,51,33,6.8,26.8,34.0,793.6,Soja
64,45,31,5.8,21.8,83.7,1618.6,Riz
49,24,37,6.1,27.3,58.0,1184.3,Manioc
66,39,43,5.4,23.7,100.0,2405.9,Cacao
68,36,50,5.7,22.6,93.6,1674.3,Cacao
79,25,48,5.3,21.5,86.5,1630.1,Café
82,48,43,6.6,25.5,88.2,1905.1,Riz
78,42,37,5.7,27.0,90.8,2000.5,Cacao
54,24,39,5.1,29.2,51.9,974.9,Manioc
15,66,30,7.0,21.4,22.4,577.7,Soja
123,62,41,7.0,27.1,42.0,676.0,Coton
45,26,24,6.9,31.7,20.0,572.7,Sorgho
51,28,46,6.1,27.3,55.6,993.1,Manioc
39,25,44,5.6,27.6,56.3,933.2,Manioc
52,21,34,7.0,30.7,38.3,642.7,Sorgho
78,43,24,7.2,21.2,20.0,390.5,Maïs
31,57,29,6.2,25.4,38.7,746.1,Soja
70,38,47,6.1,26.5,63.8,1207.2,Igname
73,27,44,5.8,27.9,64.9,1194.0,Igname
42,20,37,5.1,28.0,49.6,907.2,Manioc
34,67,24,7.4,24.2,38.6,747.1,Soja
36,18,39,5.3,32.4,49.1,866.6,Manioc
77,22,58,5.9,19.4,87.3,1814.9,Café
62,44,53,5.6,25.0,100.0,2085.1,Cacao
40,29,26,5.8,28.9,40.4,646.6,Sorgho
51,21,37,5.6,25.5,57.4,1122.4,Manioc
43,21,35,5.4,28.9,51.3,1055.3,Manioc
66,46,61,6.1,29.5,58.2,1024.7,Igname
92,48,23,7.2,27.0,23.8,517.4,Maïs
30,49,33,6.4,22.0,33.9,852.1,Soja
73,53,50,5.4,29.4,70.3,1210.2,Igname
43,22,40,6.0,29.1,48.9,977.0,Manioc
28,50,30,6.6,24.7,38.1,714.7,Soja
41,19,38,6.2,28.3,50.7,1071.4,Manioc
108,42,35,6.1,31.9,51.5,912.7,Coton
87,53,23,6.2,25.1,33.9,769.8,Maïs
113,49,48,5.9,30.1,48.3,983.9,Coton
48,22,38,5.8,32.4,56.2,1130.4,Manioc
27,58,29,6.5,25.5,45.6,836.3,Soja
31,64,29,6.4,23.9,47.2,847.3,Soja
70,37,42,5.9,24.4,100.0,2295.9,Cacao
56,41,49,5.8,28.7,55.0,1281.5,Igname
108,50,31,5.8,30.2,43.1,799.7,Coton
26,68,25,7.3,22.3,34.1,820.5,Soja
120,51,31,5.8,29.4,71.6,1314.2,Coton
127,47,35,6.1,31.4,54.4,1013.5,Coton
50,20,32,6.1,26.7,56.7,1036.4,Manioc
44,21,27,6.9,29.7,35.9,621.5,Sorgho
67,38,46,5.0,25.5,100.0,2344.5,Cacao
50,44,53,5.7,26.6,61.5,1239.0,Igname
35,57,27,7.1,21.2,37.4,704.5,Soja
63,43,47,4.9,22.9,90.4,1930.4,Cacao
93,45,41,6.9,29.1,75.4,1505.3,Riz
68,35,39,5.5,20.5,87.3,1590.7,Cacao
82,41,23,6.4,27.6,40.9,726.5,Maïs
85,31,57,5.8,22.3,76.5,1627.7,Café
47,32,30,5.7,26.7,24.7,415.2,Sorgho
67,53,49,6.6,36.6,81.3,1544.2,Riz
78,32,43,5.1,23.2,80.4,1594.8,Café
58,42,36,6.0,29.4,57.0,1334.9,Riz
38,18,38,5.3,29.3,46.0,1044.1,Manioc
24,49,34,6.3,21.9,32.8,724.0,Soja
80,42,20,6.6,24.9,34.5,581.9,Maïs
55,36,49,6.0,25.2,100.0,2128.4,Cacao
70,50,47,5.8,22.3,94.7,1750.0,Riz
78,36,59,5.9,23.2,84.1,1822.0,Café
81,29,56,5.7,22.8,85.9,1722.7,Café
107,51,49,6.4,30.0,53.4,963.0,Coton
112,45,33,6.2,29.8,32.3,820.4,Coton
68,52,39,6.5,31.6,63.5,1368.8,Riz
47,31,41,6.1,30.5,63.3,1126.7,Manioc
72,51,39,4.9,24.6,49.0,887.6,Riz
62,53,39,5.8,28.5,64.7,1486.1,Riz
57,27,52,6.4,28.1,70.5,1449.4,Igname
74,49,45,5.4,23.9,79.7,1725.7,Riz
51,31,26,6.0,29.4,42.3,681.5,Sorgho
62,39,36,5.6,24.9,77.8,1493.9,Cacao
61,36,51,6.2,27.6,52.2,1095.5,Igname
52,40,45,6.0,25.9,60.6,1344.9,Igname
40,64,23,7.7,27.7,37.5,799.7,Soja
75,26,43,5.7,22.6,89.5,1642.0,Café
78,32,22,5.7,22.8,33.3,702.3,Maïs
30,49,23,6.9,24.1,42.0,681.0,Soja
42,29,28,5.9,28.1,42.9,705.0,Sorgho
25,66,31,6.5,26.4,31.3,706.1,Soja
80,48,16,6.4,23.1,37.2,737.0,Maïs
41,46,32,6.6,23.4,32.9,784.3,Soja
34,24,36,6.1,28.9,48.3,843.3,Manioc
67,31,49,5.7,22.7,92.9,1914.3,Café
41,34,33,6.4,35.6,32.5,656.1,Sorgho
27,53,24,6.8,23.9,27.8,506.1,Soja
45,27,35,8.0,30.4,34.4,695.3,Sorgho
119,46,35,6.1,24.7,49.9,929.4,Coton
69,23,63,5.3,20.5,87.7,1838.0,Café
44,32,21,7.3,33.7,20.4,483.2,Sorgho
26,53,26,6.8,27.9,29.3,641.3,Soja
42,23,33,7.3,29.0,28.3,616.7,Sorgho
34,54,33,7.1,26.6,50.7,949.0,Soja
79,42,28,6.1,27.1,36.0,604.5,Maïs
44,21,45,5.1,26.1,51.5,1009.2,Manioc
80,45,54,5.5,25.4,83.3,1659.5,Cacao
55,34,59,5.8,29.6,63.4,1272.7,Igname
63,20,61,5.8,17.7,86.0,1639.8,Café
67,41,42,5.3,26.1,89.1,1685.7,Cacao
76,30,57,6.0,20.8,81.8,1777.7,Café
53,26,40,5.3,27.4,64.6,1191.4,Manioc
77,33,57,5.5,22.5,100.0,2028.3,Café
36,21,37,5.3,25.9,45.7,928.7,Manioc
73,44,45,6.0,25.8,100.0,2441.7,Cacao
86,51,36,5.1,22.4,56.9,1093.0,Riz
41,20,28,7.1,32.9,27.2,581.6,Sorgho
62,35,57,5.8,22.3,94.8,1884.3,Café
65,36,55,5.7,19.0,83.9,1750.9,Café
71,37,51,6.1,27.5,55.6,1160.2,Igname
67,49,51,6.1,27.9,80.0,1581.1,Riz
67,35,33,5.7,25.0,91.0,2014.3,Cacao
61,32,50,6.3,28.7,56.0,1147.3,Igname
61,53,38,5.7,28.8,81.4,1431.8,Riz
48,34,57,5.6,26.8,55.3,1168.1,Igname
71,39,42,5.5,28.1,97.4,1882.9,Cacao
41,29,22,7.0,28.8,27.0,586.0,Sorgho
54,40,48,6.1,27.2,73.1,1515.5,Riz
125,47,48,7.0,30.8,44.8,723.5,Coton
60,34,33,7.8,27.6,36.1,731.5,Sorgho
33,54,36,6.8,23.1,53.0,860.3,Soja
48,22,39,6.0,29.1,51.4,955.9,Manioc
67,37,41,5.0,21.6,97.7,1971.9,Café
64,34,46,5.8,22.0,100.0,2028.9,Cacao
31,43,28,7.4,28.8,50.1,808.9,Soja
50,33,26,6.5,31.8,35.3,654.7,Sorgho
65,48,47,6.5,22.9,84.0,1496.8,Riz
63,50,36,6.2,27.9,77.6,1540.5,Riz
74,53,39,5.0,31.8,76.2,1331.2,Riz
36,24,40,5.9,27.6,57.1,1135.5,Manioc
56,26,30,6.6,32.4,32.6,468.2,Sorgho
40,13,42,5.7,28.4,55.9,1236.8,Manioc
83,44,19,6.6,25.5,26.3,604.3,Maïs
118,47,41,5.8,25.7,62.4,1289.5,Coton
43,24,43,5.9,29.1,51.7,995.1,Manioc
31,23,39,5.5,27.8,56.1,1084.7,Manioc
28,25,29,6.4,32.8,30.5,712.6,Sorgho
138,44,32,6.4,26.9,30.8,673.8,Coton
123,47,43,5.9,31.7,35.5,877.3,Coton
61,45,17,6.0,26.5,50.4,1023.8,Maïs
84,40,31,6.2,28.8,78.7,1534.8,Riz
140,43,41,6.3,31.0,43.8,788.2,Coton
82,45,20,6.3,23.7,22.5,601.1,Maïs
55,37,48,5.6,27.0,64.6,1130.5,Igname
99,33,24,7.3,27.8,31.8,604.9,Maïs
58,40,45,6.2,28.9,52.5,1168.9,Igname
27,48,37,6.6,24.7,33.8,695.1,Soja
70,37,45,5.9,28.9,61.4,1124.9,Igname
43,26,37,5.6,30.3,50.9,1028.1,Manioc
65,35,51,5.8,28.4,51.4,1150.9,Igname
53,16,36,5.7,30.7,64.3,1155.0,Manioc
49,51,51,6.3,26.1,53.7,1168.1,Igname
72,49,23,7.3,21.3,42.7,670.5,Maïs
111,53,44,6.3,30.3,37.6,734.2,Coton
52,18,29,7.3,30.9,30.0,649.1,Sorgho
45,32,29,6.8,28.8,20.9,491.4,Sorgho
59,23,46,5.7,29.4,61.5,1118.3,Manioc
29,53,30,6.7,25.2,41.4,793.0,Soja
31,65,31,6.0,25.6,46.4,774.9,Soja
79,35,56,5.6,20.8,94.9,1700.9,Café
84,26,48,5.6,18.9,78.9,1699.2,Café
39,27,24,6.9,34.7,20.0,543.0,Sorgho
81,51,21,6.0,21.5,45.2,742.7,Maïs
62,33,48,6.2,28.8,75.8,1408.1,Igname
34,53,30,6.8,21.3,40.5,658.0,Soja
107,37,24,5.8,24.9,32.8,732.5,Maïs
58,49,41,6.1,26.6,69.5,1340.4,Riz
130,52,45,5.5,30.8,48.5,1020.8,Coton
62,38,51,5.4,20.7,87.0,1788.3,Cacao
47,23,41,5.8,31.3,49.4,960.1,Manioc
58,21,23,7.4,28.7,41.6,641.2,Sorgho
68,48,36,6.2,27.3,80.0,1444.6,Riz
79,28,65,5.5,23.7,83.7,1599.1,Café
84,32,47,5.4,21.7,83.8,1740.2,Café
47,25,30,7.0,27.7,30.5,741.4,Sorgho
63,40,37,5.7,25.8,100.0,2249.9,Cacao
34,45,31,6.6,22.0,31.2,713.0,Soja
31,44,27,6.6,23.2,49.7,831.1,Soja
58,39,48,5.5,25.1,90.9,1953.1,Cacao
55,20,47,5.6,23.9,65.0,1142.7,Manioc
74,35,38,6.0,25.9,100.0,1978.2,Cacao
86,38,24,6.6,29.3,26.8,628.7,Maïs
65,40,34,5.2,25.5,93.2,1917.7,Cacao
20,53,31,6.2,24.2,39.9,749.1,Soja
52,23,26,7.0,29.0,40.2,638.5,Sorgho
71,39,47,5.7,24.6,100.0,1962.0,Cacao
50,21,38,5.8,29.1,58.0,1113.4,Manioc
86,45,38,6.0,24.3,55.5,1066.4,Riz
36,51,28,6.8,24.9,36.8,890.2,Soja
63,42,50,6.1,27.5,77.4,1373.8,Igname
66,34,48,6.0,18.1,90.4,1800.2,Café
125,45,40,6.0,35.0,48.4,990.9,Coton
67,44,49,6.4,21.0,76.0,1684.1,Cacao
30,54,33,5.9,26.2,40.2,848.8,Soja
38,24,43,6.0,27.4,53.7,1031.5,Manioc
139,48,51,6.7,32.1,37.8,858.9,Coton
93,41,17,6.7,21.1,30.6,710.7,Maïs
47,27,47,5.4,31.8,53.4,995.3,Manioc
64,30,41,5.3,22.0,87.4,1873.2,Café
136,54,42,6.0,28.3,33.2,657.7,Coton
72,49,41,5.6,29.2,95.6,1800.2,Riz
69,39,58,6.0,27.5,54.2,1104.9,Igname
33,63,35,7.2,19.2,41.7,813.8,Soja
133,45,37,5.9,28.1,33.9,654.0,Coton
81,24,60,5.5,21.0,88.7,1961.8,Café
84,54,25,6.8,25.1,30.7,736.4,Maïs
103,51,43,6.0,28.8,48.4,880.6,Coton
82,37,54,5.8,27.7,53.5,1203.4,Igname
76,34,60,5.5,20.5,86.1,1652.9,Café
85,28,52,5.2,21.2,96.2,1833.1,Café
61,26,40,5.2,28.3,100.0,2160.2,Cacao
73,35,51,5.8,24.1,100.0,2039.4,Cacao
101,51,42,6.2,30.4,46.9,836.9,Coton
22,71,32,6.7,23.7,45.3,756.1,Soja
66,38,41,4.8,23.9,93.7,1865.7,Cacao
66,41,39,5.4,25.4,91.9,1867.7,Riz
128,45,35,6.4,33.1,24.6,688.3,Coton
38,34,42,7.0,33.7,25.1,600.3,Sorgho
70,39,50,5.8,25.5,66.3,1170.2,Cacao
34,46,26,6.5,24.0,46.9,814.2,Soja
47,30,26,6.4,29.6,20.0,535.5,Sorgho
89,47,24,6.7,25.3,45.2,770.3,Maïs
40,24,26,7.8,28.6,27.6,506.8,Sorgho
78,56,39,6.5,30.7,71.7,1458.6,Riz
46,24,33,5.5,30.2,60.6,1089.9,Manioc
38,17,45,5.8,26.5,58.8,1120.9,Manioc
70,33,36,6.4,23.6,81.7,1654.4,Cacao
58,46,39,5.5,24.7,100.0,2073.5,Cacao
35,24,30,6.0,33.9,41.5,711.4,Sorgho
85,23,58,5.1,21.4,88.4,1707.1,Café
65,36,49,5.8,26.5,87.6,1783.4,Cacao
44,32,26,5.9,29.4,22.1,500.7,Sorgho
112,55,37,6.0,29.7,54.5,1281.7,Coton
64,9,57,5.4,22.9,94.7,1729.4,Café
67,55,20,6.5,19.6,28.8,731.3,Maïs
64,45,60,5.9,26.7,100.0,2191.4,Cacao
73,33,40,6.0,25.5,96.3,1934.3,Cacao
68,39,52,5.3,25.7,100.0,2138.2,Cacao
83,31,48,5.7,22.2,100.0,2210.9,Cacao
54,38,47,6.1,26.8,59.5,1347.6,Igname
46,20,35,6.0,29.6,46.8,767.0,Manioc
45,15,35,6.1,26.8,59.3,1157.7,Manioc
42,22,43,5.9,30.0,36.8,883.5,Manioc
80,47,41,6.3,33.8,61.0,1292.8,Riz
37,19,44,5.8,28.3,55.0,1047.7,Manioc
48,40,33,6.0,30.5,39.4,673.5,Sorgho
57,22,36,5.8,26.7,49.5,961.9,Manioc
59,32,33,7.3,28.8,26.8,569.9,Sorgho
29,66,28,6.4,27.3,51.6,898.5,Soja
119,52,36,6.3,30.8,55.0,951.8,Coton
61,39,27,6.5,25.0,20.0,448.8,Sorgho
40,16,36,5.9,25.8,53.5,1020.6,Manioc
125,45,37,6.3,33.9,47.4,831.7,Coton
77,52,37,5.8,30.1,87.9,1738.9,Riz
52,17,36,5.5,30.2,48.5,1047.2,Manioc
59,33,42,4.9,24.1,100.0,2255.4,Cacao
73,39,27,7.0,19.3,36.6,837.7,Maïs
92,59,21,6.7,26.8,35.2,642.7,Maïs
61,43,37,5.6,23.4,73.2,1421.4,Riz
63,41,45,5.6,26.4,100.0,2260.0,Cacao
63,37,50,5.9,29.3,66.1,1216.3,Igname
38,43,57,5.8,26.9,72.9,1261.8,Igname
36,28,33,6.7,28.9,34.4,667.3,Sorgho
48,21,37,5.9,29.6,49.4,1002.0,Manioc
88,46,17,7.4,26.7,32.4,818.4,Maïs
75,37,22,7.1,30.6,38.9,849.5,Maïs
55,26,28,6.9,25.9,31.5,793.6,Sorgho
75,25,58,6.1,23.5,77.2,1679.3,Café
70,55,38,6.3,26.6,66.6,1144.2,Riz
57,28,36,6.0,23.6,91.1,1755.1,Cacao
44,19,48,5.8,30.9,57.4,1002.4,Manioc
63,37,50,6.1,29.1,64.6,1328.7,Igname
65,39,43,5.6,24.8,100.0,2264.4,Cacao
45,23,46,5.4,29.3,39.3,967.4,Manioc
40,28,27,7.8,33.3,38.8,727.6,Sorgho
39,24,30,7.4,29.6,27.7,592.0,Sorgho
69,25,50,5.7,18.6,87.6,1593.4,Café
80,39,20,6.7,24.0,24.7,680.3,Maïs
66,41,58,6.0,28.5,62.8,1317.8,Igname
66,39,51,6.1,27.5,59.6,1333.4,Igname
71,49,23,6.0,27.1,41.3,758.8,Maïs
79,49,41,5.8,32.9,58.0,1185.2,Riz
38,25,43,5.2,26.7,44.5,929.7,Manioc
48,20,39,5.5,29.8,56.4,1073.6,Manioc
65,44,50,5.6,25.1,93.5,1821.9,Riz
100,41,24,6.7,26.2,35.8,737.8,Maïs
79,26,69,5.6,19.1,99.1,1876.6,Café
56,47,22,6.2,26.6,32.7,771.0,Maïs
117,54,51,6.2,29.8,50.3,820.1,Coton
48,27,32,6.3,30.4,51.9,1157.9,Manioc
126,49,42,6.2,30.0,49.8,858.8,Coton
68,48,41,5.1,25.0,92.9,1691.8,Cacao
50,37,55,5.9,26.1,48.8,1169.7,Igname
73,43,35,5.8,28.6,89.5,1773.1,Riz
70,35,52,6.0,28.0,54.9,1142.1,Igname
29,53,37,6.5,20.4,44.2,857.5,Soja
127,45,43,6.3,32.1,48.1,873.8,Coton
59,42,44,6.4,30.3,71.9,1327.0,Igname
73,43,39,6.6,35.2,61.1,1150.0,Riz
39,30,23,6.6,29.3,30.9,548.6,Sorgho
56,39,36,6.7,29.2,50.8,1135.9,Igname
62,42,46,5.8,25.2,65.4,1322.6,Riz
28,30,27,5.9,28.5,20.0,454.6,Sorgho
25,57,27,7.1,26.0,36.4,829.0,Soja
110,52,46,6.7,25.6,54.2,1068.7,Coton
58,43,30,5.9,27.9,95.6,1777.9,Riz
91,36,21,6.1,27.8,56.8,1014.5,Maïs
89,42,36,6.5,29.1,89.6,1621.0,Riz
131,49,29,6.7,30.0,47.7,898.4,Coton
28,33,26,6.5,30.8,29.8,486.6,Sorgho
41,21,29,5.6,29.6,50.3,1090.7,Manioc
65,41,37,6.1,25.3,89.0,1948.7,Cacao
69,35,56,5.1,22.4,74.6,1472.7,Café
100,57,34,6.2,30.4,37.9,753.4,Coton
56,50,41,6.0,26.3,96.6,1826.9,Cacao
52,35,28,5.5,26.1,30.8,534.9,Sorgho
123,50,39,6.6,26.2,58.4,989.1,Coton
77,30,67,5.4,20.9,79.6,1783.7,Café
29,57,40,6.9,23.0,38.0,837.2,Soja
118,51,42,6.0,31.4,34.3,789.7,Coton
69,45,44,6.3,22.7,59.4,1223.0,Riz
76,27,56,5.0,21.5,85.2,1807.2,Café
66,44,55,5.8,25.6,94.6,1821.3,Cacao
30,51,28,6.6,27.3,45.0,822.7,Soja
49,22,48,5.8,30.2,62.7,1086.1,Manioc
123,54,43,6.7,26.9,61.0,1046.2,Coton
121,52,33,6.1,31.6,55.9,999.9,Coton
64,29,50,5.6,26.0,100.0,2018.5,Cacao
53,38,53,5.7,27.3,66.2,1270.7,Igname
44,35,51,6.5,27.5,60.1,1354.0,Igname
83,35,43,5.9,22.3,96.8,1955.7,Café
63,47,44,5.8,24.2,100.0,2267.3,Cacao
68,35,55,5.7,24.8,100.0,2214.7,Cacao
67,52,53,5.9,24.6,62.3,1381.5,Igname
75,42,34,6.6,32.1,79.2,1503.7,Riz
37,35,34,5.7,28.2,28.9,473.7,Sorgho
25,56,27,6.8,22.5,38.5,700.7,Soja
58,39,51,5.2,25.9,100.0,2181.0,Cacao
74,48,19,7.0,23.5,27.7,610.0,Maïs
27,58,26,6.4,25.4,37.4,776.1,Soja
60,42,40,5.2,26.2,91.0,1807.2,Cacao
79,38,26,6.9,23.0,42.3,886.8,Maïs
73,39,41,6.1,26.7,73.9,1656.8,Riz
86,51,19,6.6,24.2,45.7,739.2,Maïs
49,34,49,5.9,28.4,65.4,1277.7,Igname
118,52,30,6.5,31.7,53.8,1054.0,Coton
62,47,53,6.0,26.5,56.6,1287.5,Igname
36,37,34,5.9,23.2,44.4,716.1,Soja
131,42,35,5.8,31.0,33.6,569.0,Coton
72,36,43,5.6,25.7,86.3,1860.5,Cacao
70,39,45,5.4,22.7,76.8,1711.2,Cacao
107,54,44,6.0,32.9,43.5,1064.4,Coton
62,37,54,6.0,25.5,61.9,1209.1,Igname
38,31,32,6.3,28.2,30.8,616.9,Sorgho
60,42,17,5.9,26.6,40.9,621.6,Maïs
84,42,38,6.1,25.8,62.9,1270.1,Riz
71,52,21,5.6,24.5,44.1,698.2,Maïs
72,50,42,6.3,27.0,96.8,1807.9,Riz
39,70,29,7.3,25.9,32.4,826.3,Soja
60,36,39,5.8,24.7,100.0,2155.6,Cacao
54,45,39,5.4,27.7,78.1,1439.1,Riz
60,39,56,5.4,26.4,63.1,1269.8,Igname
83,28,51,5.5,20.6,83.6,1772.0,Café
67,25,61,5.7,24.3,83.6,1704.3,Café
54,24,40,5.9,30.2,45.9,944.3,Manioc
53,24,35,7.4,31.4,20.0,505.6,Sorgho
137,47,41,6.8,30.3,52.6,884.4,Coton
74,51,33,7.1,26.1,65.7,1337.0,Riz
80,34,41,6.0,24.8,89.7,1892.0,Cacao
51,38,28,5.9,28.5,22.1,622.4,Sorgho
69,33,57,6.3,27.6,100.0,2034.8,Cacao
80,45,19,6.6,27.7,37.5,809.4,Maïs
46,17,39,6.1,28.8,51.6,878.0,Manioc
65,42,43,5.7,24.3,100.0,2226.6,Cacao
92,34,26,7.0,23.3,33.3,642.4,Maïs
88,51,19,6.6,25.1,46.2,857.8,Maïs
74,22,50,5.6,21.1,89.7,1638.5,Café
67,54,41,5.7,33.9,80.9,1533.5,Riz
69,45,42,5.8,31.5,82.0,1457.4,Riz
53,29,42,5.6,26.4,44.6,953.2,Manioc
